"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade","Idioma","Raridade","Cor",Extras,"Card #",Comentario,"# Cards na Edicao"
"Luz Proibida","Forbidden Light",FLI,Inkay,Inkay,2,"NM",PT,C,P,"",50,"",131
"Luz Proibida","Forbidden Light",FLI,Malamar,Malamar,2,"NM",PT,R,P,"",51,"",131
"Luz Proibida","Forbidden Light",FLI,"Tesouro Misterioso","Mysterious Treasure",2,"NM",PT,U,C,"",113,"",131
"Sintonia Mental","Unified Minds",UNM,Audino,Audino,2,"NM",PT,C,C,"",177,"",236
"Sintonia Mental","Unified Minds",UNM,Caça-Inseto,"Bug Catcher",2,"NM",PT,U,C,"",189,"",236
"Sintonia Mental","Unified Minds",UNM,Dedenne,Dedenne,2,"NM",PT,C,Y,"",145,"",236
"Sintonia Mental","Unified Minds",UNM,Gumshoos,Gumshoos,2,"NM",PT,R,C,"",181,"",236
"Sintonia Mental","Unified Minds",UNM,Mesprit,Mesprit,2,"NM",PT,U,P,"",84,"",236
"Sintonia Mental","Unified Minds",UNM,Necrozma,Necrozma,2,"NM",PT,R,P,"",101,"",236
"Sintonia Mental","Unified Minds",UNM,Silvally,Silvally,2,"NM",PT,R,C,"",184,"",236
"Sintonia Mental","Unified Minds",UNM,Tauros,Tauros,2,"NM",PT,U,C,"",182,"",236
"Sintonia Mental","Unified Minds",UNM,"Tipo: Nulo","Type: Null",3,"NM",PT,C,C,"",183,"",236
"Sintonia Mental","Unified Minds",UNM,Yungoos,Yungoos,3,"NM",PT,C,C,"",180,"",236
"Sintonia Mental","Unified Minds",UNM,"Prancha de Fuga","U-Turn Board",2,"NM",PT,U,C,"",211,"",236
"Sintonia Mental","Unified Minds",UNM,"Energia Guarda-Fraqueza","Weakness Guard Energy",2,"NM",PT,U,C,"",213,"",236
"Sol e Lua","Sun & Moon",SUM,"Energia Psíquica","Psychic Energy",18,"NM",PT,C,E,"",168,"",149
"Sol e Lua","Sun & Moon",SUM,Hau,Hau,2,"NM",PT,U,C,"",120,"",149
"Sol e Lua","Sun & Moon",SUM,Substituição,Switch,1,"NM",PT,C,C,"",132,"",149
"Tempestade Celestial","Celestial Storm",CES,"Tate e Liza","Tate & Liza",1,"NM",PT,U,C,"",148,"",168
"Ultra Prisma","Ultra Prism",UPR,Cíntia,Cynthia,2,"NM",PT,U,C,"",119,"",156
"Ultra Prisma","Ultra Prism",UPR,"Fã-Clube Pokémon","Pokémon Fan Club",2,"NM",PT,U,C,"",133,"",156
"Ultra Prisma","Ultra Prism",UPR,Lílian,Lillie,2,"NM",PT,U,C,"",125,"",156
